timestamp,open,high,low,close,volume
2026-05-17 12:45:00,2197.13,2198.04,2194.5,2194.5,532.7625
2026-05-17 12:50:00,2194.51,2195.56,2194.49,2194.81,253.2526
2026-05-17 12:55:00,2194.81,2195.32,2193.58,2194.3,176.5359
2026-05-17 13:00:00,2194.3,2194.3,2191.62,2193.85,347.1454
2026-05-17 13:05:00,2193.85,2194.93,2192.81,2192.81,244.9645
2026-05-17 13:10:00,2192.81,2193.36,2190.6,2190.75,581.542
2026-05-17 13:15:00,2190.76,2190.76,2187.29,2190.44,760.2315
2026-05-17 13:20:00,2190.44,2190.44,2188.96,2189.31,363.5025
2026-05-17 13:25:00,2189.32,2191.96,2189.31,2191.95,654.2056
2026-05-17 13:30:00,2191.96,2192.28,2190.79,2191.51,244.5321
2026-05-17 13:35:00,2191.51,2194.39,2191.51,2193.41,305.3318
2026-05-17 13:40:00,2193.41,2193.9,2192.28,2193.37,215.6003
2026-05-17 13:45:00,2193.37,2194.72,2193.37,2194.19,175.7066
2026-05-17 13:50:00,2194.19,2194.72,2190.82,2191.27,735.3343
2026-05-17 13:55:00,2191.27,2192.42,2190.4,2192.12,195.4261
2026-05-17 14:00:00,2192.12,2192.39,2189.4,2190.1,532.1547
2026-05-17 14:05:00,2190.1,2190.29,2187.4,2187.99,490.2488
2026-05-17 14:10:00,2187.98,2188.76,2187.51,2187.77,258.6448
2026-05-17 14:15:00,2187.78,2187.78,2178.39,2184.36,2737.6686
2026-05-17 14:20:00,2184.37,2186.0,2182.81,2185.09,611.4532
2026-05-17 14:25:00,2185.1,2189.62,2185.09,2187.53,500.0034
2026-05-17 14:30:00,2187.53,2188.8,2183.45,2186.1,497.8414
2026-05-17 14:35:00,2186.1,2186.63,2184.01,2184.13,170.3672
2026-05-17 14:40:00,2184.13,2185.56,2184.13,2185.34,188.714
2026-05-17 14:45:00,2185.35,2187.21,2185.35,2187.06,293.09
2026-05-17 14:50:00,2187.07,2187.89,2186.27,2187.89,223.5394
2026-05-17 14:55:00,2187.89,2188.32,2186.61,2186.64,248.6862
2026-05-17 15:00:00,2186.64,2186.81,2184.65,2186.73,294.1857
2026-05-17 15:05:00,2186.74,2188.5,2186.73,2187.68,160.0044
2026-05-17 15:10:00,2187.69,2188.84,2187.01,2187.01,373.6211
2026-05-17 15:15:00,2187.01,2187.02,2181.2,2185.26,627.8252
2026-05-17 15:20:00,2185.27,2185.31,2184.09,2184.49,190.6093
2026-05-17 15:25:00,2184.49,2184.49,2182.99,2183.03,174.7059
2026-05-17 15:30:00,2183.04,2185.41,2183.03,2185.4,209.6043
2026-05-17 15:35:00,2185.41,2186.17,2184.12,2185.57,211.3786
2026-05-17 15:40:00,2185.57,2186.8,2184.5,2185.67,431.4815
2026-05-17 15:45:00,2185.67,2187.26,2185.48,2186.67,283.6848
2026-05-17 15:50:00,2186.67,2186.89,2186.22,2186.23,228.9821
2026-05-17 15:55:00,2186.23,2187.26,2186.22,2186.51,155.1141
2026-05-17 16:00:00,2186.51,2189.12,2186.5,2187.45,418.9009
2026-05-17 16:05:00,2187.46,2187.47,2185.96,2186.14,221.0331
2026-05-17 16:10:00,2186.14,2186.14,2185.0,2185.35,85.9198
2026-05-17 16:15:00,2185.36,2186.59,2184.39,2184.81,265.7694
2026-05-17 16:20:00,2184.82,2185.08,2183.53,2185.08,180.2612
2026-05-17 16:25:00,2185.08,2186.98,2185.07,2186.65,177.3316
2026-05-17 16:30:00,2186.64,2187.95,2185.84,2186.27,239.8676
2026-05-17 16:35:00,2186.27,2186.48,2185.84,2186.19,120.152
2026-05-17 16:40:00,2186.2,2187.69,2186.19,2187.33,267.3369
2026-05-17 16:45:00,2187.34,2187.34,2184.72,2184.75,184.6332
2026-05-17 16:50:00,2184.76,2185.03,2183.19,2185.03,172.3101
2026-05-17 16:55:00,2185.03,2185.16,2182.15,2182.51,493.8895
2026-05-17 17:00:00,2182.52,2183.47,2180.07,2183.46,489.4581
2026-05-17 17:05:00,2183.45,2183.71,2182.36,2183.0,225.3526
2026-05-17 17:10:00,2183.01,2183.01,2177.95,2178.96,623.5769
