auc,binary_logloss
0.5624235006119951,0.3259929595424165
0.5299877600979193,0.32482248097305233
0.5501835985312118,0.3225061963884393
0.5648714810281518,0.32054046471320347
0.5243268053855569,0.32048527256093456
0.5898102815177478,0.3173937578729603
0.5997552019583844,0.31542294842629337
0.6023561811505508,0.31339069238881045
0.6020501835985312,0.31060227996555795
0.5966952264381885,0.3098542135744757
0.5905752753977969,0.3107411328987668
0.5780293757649939,0.3137843652106018
0.5581395348837209,0.31885236783766
0.549265605875153,0.3229495772062111
0.5466646266829865,0.324878001346858
0.5570685434516524,0.32872102861413577
0.5469706242350061,0.3328496302861561
0.5356487148102815,0.3340628067755177
0.5348837209302325,0.3329024952337595
0.5376376988984088,0.33192919550893785
0.5400856793145655,0.33111275118258404
0.5443696450428397,0.32998793827872924
0.5446756425948592,0.32975085599532133
0.5449816401468788,0.329717155041328
0.5425336597307222,0.3304401025265157
0.5458996328029376,0.3302077690693476
0.5498776009791921,0.33028121501797186
0.5627294981640147,0.32913558102104656
0.5575275397796817,0.33098152746173054
0.5593635250917993,0.33226651753476366
0.5731334149326806,0.3316853711981458
0.5682374541003672,0.3350457103760446
0.5657894736842105,0.3392124904392565
0.5703794369645043,0.34049250027421035
0.5673194614443084,0.34167200875489556
0.5621175030599755,0.34709474021799713
0.5624235006119951,0.3470604346983724
0.5605875152998776,0.3505338061722227
0.5584455324357405,0.3515449353340487
0.5559975520195839,0.3557802366684396
0.5517135862913096,0.357487404532194
0.5480416156670747,0.3606500554622862
0.555079559363525,0.36282944933038264
0.5572215422276622,0.3637049692868162
0.5563035495716034,0.3671225919029199
0.5514075887392901,0.3716763066668525
0.5495716034271726,0.37288949667653243
0.5498776009791921,0.37428954301659717
0.5477356181150551,0.37610665800440113
0.5477356181150551,0.37772759138773054
0.5501835985312118,0.37934229573906975
0.5504895960832313,0.38047738136678977
0.549265605875153,0.3834719040898754
0.5495716034271726,0.38566588584191247
0.5538555691554468,0.38761346028548804
0.5471236230110159,0.38851899991591715
0.545593635250918,0.3900034538698347
0.54406364749082,0.3902375809706016
